Fecha,MemoriaUsadaJVM(bytes)
2020-08-02 23:39:06,132114024
2020-08-02 23:39:16,158172264
2020-08-02 23:39:26,159529912
2020-08-02 23:39:36,160888616
2020-08-02 23:39:46,83339648
2020-08-02 23:39:56,85155928
2020-08-02 23:40:06,86699768
2020-08-02 23:40:16,101360264
2020-08-02 23:40:26,104545560
2020-08-02 23:40:36,105913128
2020-08-02 23:40:46,112806800
2020-08-02 23:40:56,114742408
2020-08-02 23:41:06,116175008
2020-08-02 23:41:16,127772608
2020-08-02 23:41:26,130715280
2020-08-02 23:41:36,132077376
2020-08-02 23:41:46,142206208
2020-08-02 23:41:56,151721552
2020-08-02 23:42:06,153075536
2020-08-02 23:42:16,158496008
2020-08-02 23:42:26,177755240
2020-08-02 23:42:36,179109120
2020-08-02 23:42:46,191081960
2020-08-02 23:42:56,71773176
2020-08-02 23:43:06,77466944
2020-08-02 23:43:16,88059288
2020-08-02 23:43:26,91490800
2020-08-02 23:43:36,92876648
2020-08-02 23:43:46,103431064
2020-08-02 23:43:56,112992720
2020-08-02 23:44:06,114340352
2020-08-02 23:44:16,126289696
2020-08-02 23:44:26,138909600
2020-08-02 23:44:36,140257560
2020-08-02 23:44:46,148042072
2020-08-02 23:44:56,167658296
2020-08-02 23:45:06,169030648
2020-08-02 23:45:17,179211344
2020-08-02 23:45:27,183352952
2020-08-02 23:45:37,62249608
2020-08-02 23:45:47,78123384
2020-08-02 23:45:57,83500688
2020-08-02 23:46:07,84930024
2020-08-02 23:46:17,97760592
2020-08-02 23:46:27,108434968
2020-08-02 23:46:37,109795496
2020-08-02 23:46:47,117182416
2020-08-02 23:46:57,130936584
2020-08-02 23:47:07,132272544
2020-08-02 23:47:17,143698656
2020-08-02 23:47:27,160655080
2020-08-02 23:47:37,162031808
2020-08-02 23:47:47,173592728
2020-08-02 23:47:57,65730512
2020-08-02 23:48:07,67258544
2020-08-02 23:48:17,78226928
2020-08-02 23:48:27,104880920
2020-08-02 23:48:37,107544288
2020-08-02 23:48:47,120395336
2020-08-02 23:48:57,123452672
2020-08-02 23:49:07,124714112
2020-08-02 23:49:17,133694624
2020-08-02 23:49:27,158813968
2020-08-02 23:49:37,160590288
2020-08-02 23:49:47,173658672
2020-08-02 23:49:57,61371664
2020-08-02 23:50:07,62839600
2020-08-02 23:50:17,74523976
2020-08-02 23:50:27,96149704
2020-08-02 23:50:37,97522952
2020-08-02 23:50:47,109036072
2020-08-02 23:50:57,123482248
2020-08-02 23:51:07,124866072
2020-08-02 23:51:17,136157656
2020-08-02 23:51:27,153427616
2020-08-02 23:51:37,154805752
2020-08-02 23:51:47,167485192
2020-08-02 23:51:57,178322600
2020-08-02 23:52:07,179659880
2020-08-02 23:52:17,69385304
2020-08-02 23:52:27,82458728
2020-08-02 23:52:37,83734600
2020-08-02 23:52:47,93024664
2020-08-02 23:52:57,101354296
2020-08-02 23:53:07,102809296
2020-08-02 23:53:17,117528616
2020-08-02 23:53:27,142756672
2020-08-02 23:53:37,144755784
2020-08-02 23:53:47,155941296
2020-08-02 23:53:57,65752848
2020-08-02 23:54:07,67404136
2020-08-02 23:54:17,79854768
2020-08-02 23:54:27,102967760
2020-08-02 23:54:37,104487752
2020-08-02 23:54:47,113806208
2020-08-02 23:54:57,137240336
2020-08-02 23:55:07,138765440
2020-08-02 23:55:17,147691696
2020-08-02 23:55:27,156852240
2020-08-02 23:55:37,158127088
2020-08-02 23:55:47,170439240
2020-08-02 23:55:57,77839632
2020-08-02 23:56:07,81231280
2020-08-02 23:56:18,94832552
2020-08-02 23:56:28,113928296
2020-08-02 23:56:38,115510176
2020-08-02 23:56:48,129112800
2020-08-02 23:56:58,160017224
2020-08-02 23:57:08,163616808
2020-08-02 23:57:18,73563496
2020-08-02 23:57:28,84308376
