Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-02 23:39:11,2,44.26,1983
2020-08-02 23:39:21,4,44.63,1970
2020-08-02 23:39:31,0,44.45,1978
2020-08-02 23:39:41,0,44.45,1977
2020-08-02 23:39:51,0,44.33,1981
2020-08-02 23:40:01,0,44.37,1980
2020-08-02 23:40:11,0,44.38,1979
2020-08-02 23:40:21,0,44.49,1975
2020-08-02 23:40:31,0,44.5,1974
2020-08-02 23:40:41,0,44.52,1974
2020-08-02 23:40:51,0,44.62,1971
2020-08-02 23:41:01,0,44.61,1971
2020-08-02 23:41:11,0,44.63,1970
2020-08-02 23:41:21,4,44.54,1974
2020-08-02 23:41:31,0,44.54,1973
2020-08-02 23:41:41,0,44.67,1969
2020-08-02 23:41:51,0,44.81,1965
2020-08-02 23:42:01,0,44.79,1964
2020-08-02 23:42:11,0,44.79,1964
2020-08-02 23:42:21,0,44.82,1963
2020-08-02 23:42:31,0,44.22,1985
2020-08-02 23:42:41,0,44.23,1985
2020-08-02 23:42:51,0,44.31,1982
2020-08-02 23:43:01,0,44.4,1979
2020-08-02 23:43:11,0,44.38,1979
2020-08-02 23:43:21,0,44.66,1970
2020-08-02 23:43:31,11,44.84,1963
2020-08-02 23:43:41,0,44.05,1991
2020-08-02 23:43:51,0,44.24,1984
2020-08-02 23:44:01,0,44.24,1984
2020-08-02 23:44:11,0,44.24,1984
2020-08-02 23:44:21,8,43.88,1997
2020-08-02 23:44:31,0,43.9,1997
2020-08-02 23:44:41,0,43.94,1995
2020-08-02 23:44:51,2,44.04,1992
2020-08-02 23:45:01,0,44.05,1992
2020-08-02 23:45:21,0,43.95,1995
2020-08-02 23:45:31,0,43.97,1994
2020-08-02 23:45:41,0,44.06,1991
2020-08-02 23:45:51,2,43.84,1998
2020-08-02 23:46:01,0,43.83,1998
2020-08-02 23:46:11,0,43.84,1998
2020-08-02 23:46:21,0,44,1993
2020-08-02 23:46:31,0,44.03,1992
2020-08-02 23:46:41,0,44.01,1992
2020-08-02 23:46:51,0,43.95,1994
2020-08-02 23:47:01,0,43.97,1994
2020-08-02 23:47:11,0,43.98,1994
2020-08-02 23:47:21,2,44.03,1992
2020-08-02 23:47:41,0,44.01,1992
2020-08-02 23:47:51,2,44.03,1991
2020-08-02 23:48:01,0,44.05,1991
2020-08-02 23:48:11,0,44.04,1991
2020-08-02 23:48:21,8,44.07,1991
2020-08-02 23:48:31,0,44.08,1991
2020-08-02 23:48:41,0,43.99,1993
2020-08-02 23:48:51,0,43.74,2002
2020-08-02 23:49:01,0,43.75,2002
2020-08-02 23:49:11,0,43.75,2002
2020-08-02 23:49:21,0,43.85,1998
2020-08-02 23:49:31,0,43.87,1998
2020-08-02 23:49:41,0,43.86,1998
2020-08-02 23:49:51,8,44.08,1990
2020-08-02 23:50:01,0,44.07,1990
2020-08-02 23:50:11,0,44.07,1990
2020-08-02 23:50:21,17,44.2,1986
2020-08-02 23:50:31,0,44.13,1989
2020-08-02 23:50:41,0,44.09,1989
2020-08-02 23:50:51,0,44.15,1988
2020-08-02 23:51:11,0,44.11,1989
2020-08-02 23:51:21,4,44.21,1986
2020-08-02 23:51:31,0,44.19,1986
2020-08-02 23:51:41,0,44.19,1986
2020-08-02 23:51:51,0,43.82,2000
2020-08-02 23:52:02,0,44.15,1987
2020-08-02 23:52:11,0,43.73,2002
2020-08-02 23:52:22,0,44,1993
2020-08-02 23:52:31,0,43.94,1995
2020-08-02 23:52:51,4,43.93,1995
2020-08-02 23:53:01,0,43.91,1996
2020-08-02 23:53:11,0,43.93,1996
2020-08-02 23:53:21,0,43.96,1994
2020-08-02 23:53:31,7,44.26,1982
2020-08-02 23:53:41,0,43.97,1994
2020-08-02 23:53:51,2,44.01,1993
2020-08-02 23:54:01,0,43.89,1997
2020-08-02 23:54:21,4,43.91,1996
2020-08-02 23:54:31,0,43.9,1996
2020-08-02 23:54:41,0,43.9,1996
2020-08-02 23:54:51,4,43.91,1996
2020-08-02 23:55:01,2,43.43,2013
2020-08-02 23:55:11,22,43.67,2004
2020-08-02 23:55:21,0,43.72,2002
2020-08-02 23:55:41,0,43.73,2002
2020-08-02 23:55:51,0,43.6,2007
2020-08-02 23:56:01,7,43.8,1999
