Fecha,CPU_Load,Memory_Used,Free_Memory,Free_Disk_D
2020-08-02 23:39:00,0,24.32,2950,85486
2020-08-02 23:39:10,0,24.45,2946,85486
2020-08-02 23:39:20,0,24.44,2945,85486
2020-08-02 23:39:30,2,24.48,2944,85486
2020-08-02 23:39:40,0,24.46,2944,85486
2020-08-02 23:39:50,2,24.46,2944,85486
2020-08-02 23:40:00,0,24.78,2931,85486
2020-08-02 23:40:10,0,24.77,2931,85486
2020-08-02 23:40:20,0,24.79,2931,85486
2020-08-02 23:40:30,0,24.79,2930,85486
2020-08-02 23:40:40,0,24.78,2931,85486
2020-08-02 23:40:50,0,24.78,2931,85486
2020-08-02 23:41:00,0,24.77,2931,85486
2020-08-02 23:41:10,0,24.77,2931,85486
2020-08-02 23:41:30,0,24.76,2931,85486
2020-08-02 23:41:40,0,24.77,2931,85486
2020-08-02 23:41:50,4,24.73,2933,85486
2020-08-02 23:42:00,0,24.72,2933,85486
2020-08-02 23:42:10,0,24.74,2932,85486
2020-08-02 23:42:20,0,24.73,2932,85486
2020-08-02 23:42:30,0,24.73,2933,85485
2020-08-02 23:42:40,0,24.75,2932,85485
2020-08-02 23:42:50,4,24.75,2932,85485
2020-08-02 23:43:00,0,24.75,2932,85485
2020-08-02 23:43:10,5,24.74,2932,85485
2020-08-02 23:43:20,2,24.74,2932,85485
2020-08-02 23:43:30,0,24.75,2932,85485
2020-08-02 23:43:40,0,24.75,2932,85485
2020-08-02 23:43:50,0,24.74,2932,85485
2020-08-02 23:44:00,0,24.74,2932,85485
2020-08-02 23:44:10,0,24.74,2932,85485
2020-08-02 23:44:20,4,24.73,2933,85485
2020-08-02 23:44:30,0,24.75,2932,85484
2020-08-02 23:44:40,0,24.72,2933,85484
2020-08-02 23:44:50,0,24.74,2933,85484
2020-08-02 23:45:00,2,24.75,2933,85484
2020-08-02 23:45:10,0,24.76,2932,85484
2020-08-02 23:45:20,0,24.76,2932,85484
2020-08-02 23:45:30,0,24.78,2932,85484
2020-08-02 23:45:40,0,24.77,2932,85484
2020-08-02 23:45:50,2,24.78,2932,85484
2020-08-02 23:46:00,0,24.77,2932,85484
2020-08-02 23:46:10,0,24.78,2931,85484
2020-08-02 23:46:20,0,24.77,2932,85484
2020-08-02 23:46:30,0,24.78,2932,85484
2020-08-02 23:46:40,2,24.78,2932,85484
2020-08-02 23:46:50,2,24.79,2931,85484
2020-08-02 23:47:00,0,24.76,2933,85484
2020-08-02 23:47:10,0,24.76,2932,85484
2020-08-02 23:47:20,4,24.78,2932,85484
2020-08-02 23:47:30,7,24.77,2933,85483
2020-08-02 23:47:40,0,24.78,2932,85483
2020-08-02 23:47:50,4,24.8,2931,85483
2020-08-02 23:48:00,0,24.82,2931,85483
2020-08-02 23:48:20,0,24.78,2932,85483
2020-08-02 23:48:30,0,24.78,2932,85483
