Fecha,nro_registro,nro_actualiza,nro_consulta,nro_elimina
2020-08-02 23:39:44,21,0,0,0
2020-08-02 23:39:45,4,0,0,0
2020-08-02 23:40:13,5,2,0,0
2020-08-02 23:40:14,0,3,3,3
2020-08-02 23:40:15,5,4,7,7
2020-08-02 23:40:16,6,1,3,3
2020-08-02 23:40:17,3,0,1,2
2020-08-02 23:40:18,1,0,1,0
2020-08-02 23:40:43,7,2,2,3
2020-08-02 23:40:44,2,2,10,10
2020-08-02 23:40:45,0,1,1,4
2020-08-02 23:40:46,1,0,0,1
2020-08-02 23:40:47,0,0,2,2
2020-08-02 23:41:13,7,6,5,6
2020-08-02 23:41:14,6,6,7,4
2020-08-02 23:41:15,2,3,10,0
2020-08-02 23:41:16,0,0,3,0
2020-08-02 23:41:17,0,0,5,0
2020-08-02 23:41:43,5,5,5,5
2020-08-02 23:41:44,4,3,3,0
2020-08-02 23:41:45,5,6,4,0
2020-08-02 23:41:46,7,4,6,0
2020-08-02 23:41:47,4,0,7,0
2020-08-02 23:41:48,1,2,7,0
2020-08-02 23:41:49,3,0,5,0
2020-08-02 23:41:50,1,0,1,0
2020-08-02 23:41:51,0,0,2,0
2020-08-02 23:42:14,5,3,1,1
2020-08-02 23:42:15,3,2,3,3
2020-08-02 23:42:16,2,1,4,4
2020-08-02 23:42:17,4,0,4,1
2020-08-02 23:42:18,5,3,5,3
2020-08-02 23:42:19,4,1,7,1
2020-08-02 23:42:20,3,0,7,2
2020-08-02 23:42:21,1,0,3,0
2020-08-02 23:42:22,0,0,1,0
2020-08-02 23:42:23,2,0,2,0
2020-08-02 23:42:24,1,0,3,0
2020-08-02 23:42:43,5,5,5,5
2020-08-02 23:42:44,6,5,4,4
2020-08-02 23:42:45,4,4,5,5
2020-08-02 23:42:46,6,5,5,3
2020-08-02 23:42:47,4,7,6,0
2020-08-02 23:42:48,3,2,2,0
2020-08-02 23:42:49,1,4,8,0
2020-08-02 23:42:50,0,1,6,0
2020-08-02 23:42:58,1,1,1,1
2020-08-02 23:42:59,2,2,2,2
2020-08-02 23:43:00,1,0,0,0
2020-08-02 23:43:02,0,1,1,0
2020-08-02 23:43:03,2,3,4,0
2020-08-02 23:43:04,0,0,1,0
2020-08-02 23:43:13,5,4,3,0
2020-08-02 23:43:14,5,4,5,0
2020-08-02 23:43:15,11,5,7,0
2020-08-02 23:43:16,9,2,4,0
2020-08-02 23:43:17,10,0,1,0
2020-08-02 23:43:43,4,4,4,4
2020-08-02 23:43:44,6,5,5,1
2020-08-02 23:43:45,5,5,4,0
2020-08-02 23:43:46,1,0,1,0
2020-08-02 23:43:47,2,3,3,0
2020-08-02 23:43:48,4,3,1,0
2020-08-02 23:43:49,10,6,5,0
2020-08-02 23:43:50,8,4,2,0
2020-08-02 23:44:13,6,6,6,5
2020-08-02 23:44:14,5,3,4,0
2020-08-02 23:44:15,5,1,5,0
2020-08-02 23:44:16,8,0,8,0
2020-08-02 23:44:17,9,0,9,0
2020-08-02 23:44:18,5,0,6,0
2020-08-02 23:44:19,3,0,2,0
2020-08-02 23:44:20,3,0,4,0
2020-08-02 23:44:21,1,0,1,0
2020-08-02 23:44:43,6,4,2,4
2020-08-02 23:44:44,2,4,5,1
2020-08-02 23:44:45,2,0,1,0
2020-08-02 23:44:46,3,4,1,0
2020-08-02 23:44:47,2,1,3,0
2020-08-02 23:44:48,3,4,4,0
2020-08-02 23:44:49,6,6,7,0
2020-08-02 23:44:50,1,1,0,0
2020-08-02 23:44:51,4,5,10,0
2020-08-02 23:44:52,4,4,9,0
2020-08-02 23:44:53,2,1,4,0
2020-08-02 23:44:54,0,1,4,0
2020-08-02 23:45:13,3,3,2,3
2020-08-02 23:45:14,2,1,2,1
2020-08-02 23:45:15,9,8,0,5
2020-08-02 23:45:16,9,6,1,10
2020-08-02 23:45:17,3,0,0,3
2020-08-02 23:45:18,11,2,0,3
2020-08-02 23:45:19,3,0,0,0
2020-08-02 23:45:43,9,6,5,5
2020-08-02 23:45:44,6,8,9,9
2020-08-02 23:45:45,6,7,2,3
2020-08-02 23:45:46,7,2,3,2
2020-08-02 23:45:47,18,0,0,0
2020-08-02 23:45:48,2,0,0,0
2020-08-02 23:45:49,0,1,0,0
2020-08-02 23:45:50,1,1,1,1
2020-08-02 23:45:52,6,0,0,0
2020-08-02 23:46:13,7,5,5,6
2020-08-02 23:46:14,4,0,4,4
2020-08-02 23:46:15,5,0,7,4
2020-08-02 23:46:16,4,0,4,1
2020-08-02 23:46:17,5,0,4,0
2020-08-02 23:46:18,4,0,5,0
2020-08-02 23:46:19,4,0,3,0
2020-08-02 23:46:20,6,0,5,0
2020-08-02 23:46:21,3,0,1,0
2020-08-02 23:46:22,2,0,2,0
2020-08-02 23:46:23,1,0,0,0
2020-08-02 23:46:43,2,0,0,2
2020-08-02 23:46:44,3,0,3,3
2020-08-02 23:46:45,5,0,6,0
2020-08-02 23:46:46,5,0,5,0
2020-08-02 23:46:47,2,0,3,0
2020-08-02 23:46:48,3,0,2,0
2020-08-02 23:46:49,7,0,7,0
2020-08-02 23:46:50,11,0,5,0
2020-08-02 23:46:51,6,0,2,0
2020-08-02 23:46:52,11,0,2,0
2020-08-02 23:47:13,5,4,4,4
2020-08-02 23:47:14,5,6,4,4
2020-08-02 23:47:15,4,3,4,3
2020-08-02 23:47:16,3,3,4,2
2020-08-02 23:47:17,3,2,3,2
2020-08-02 23:47:18,6,1,7,0
2020-08-02 23:47:19,5,1,4,0
2020-08-02 23:47:20,3,0,3,0
2020-08-02 23:47:21,6,0,5,0
2020-08-02 23:47:22,2,0,2,0
2020-08-02 23:47:23,4,0,3,0
2020-08-02 23:47:24,4,0,2,0
2020-08-02 23:47:43,6,6,4,4
2020-08-02 23:47:44,6,5,7,1
2020-08-02 23:47:45,3,3,3,0
2020-08-02 23:47:46,4,5,4,0
2020-08-02 23:47:47,4,3,3,0
2020-08-02 23:47:48,3,4,2,0
2020-08-02 23:47:49,11,6,2,0
2020-08-02 23:47:50,25,3,0,0
2020-08-02 23:47:51,2,0,0,0
2020-08-02 23:47:52,1,0,0,0
2020-08-02 23:48:13,1,1,1,1
2020-08-02 23:48:14,7,6,4,4
2020-08-02 23:48:15,2,2,3,3
2020-08-02 23:48:16,3,3,4,4
2020-08-02 23:48:17,5,5,3,4
2020-08-02 23:48:18,3,4,5,5
2020-08-02 23:48:19,4,3,4,2
2020-08-02 23:48:20,7,7,6,2
2020-08-02 23:48:21,3,2,5,0
2020-08-02 23:48:22,1,0,1,0
2020-08-02 23:48:23,6,2,6,0
2020-08-02 23:48:24,3,0,3,0
2020-08-02 23:48:25,10,0,3,0
2020-08-02 23:48:26,5,0,1,0
2020-08-02 23:48:27,6,0,1,0
2020-08-02 23:48:28,4,0,0,0
2020-08-02 23:48:43,13,10,0,5
2020-08-02 23:48:44,5,6,0,0
2020-08-02 23:48:45,21,2,0,0
2020-08-02 23:48:46,15,2,0,0
2020-08-02 23:48:47,15,0,0,0
2020-08-02 23:48:48,6,0,0,0
2020-08-02 23:49:13,5,5,1,1
2020-08-02 23:49:14,2,0,4,4
2020-08-02 23:49:15,1,2,2,2
2020-08-02 23:49:16,1,2,2,2
2020-08-02 23:49:17,4,4,3,2
2020-08-02 23:49:18,5,4,3,0
2020-08-02 23:49:19,4,2,6,2
2020-08-02 23:49:20,2,1,1,0
2020-08-02 23:49:21,6,5,3,1
2020-08-02 23:49:22,6,3,7,1
2020-08-02 23:49:23,7,5,4,0
2020-08-02 23:49:24,4,1,3,0
2020-08-02 23:49:25,5,1,3,0
2020-08-02 23:49:26,5,0,3,0
2020-08-02 23:49:27,3,0,0,0
2020-08-02 23:49:43,5,3,1,1
2020-08-02 23:49:44,5,6,7,3
2020-08-02 23:49:45,4,0,6,1
2020-08-02 23:49:46,7,1,4,0
2020-08-02 23:49:47,10,0,5,0
2020-08-02 23:49:48,8,0,1,0
2020-08-02 23:49:49,5,0,0,0
2020-08-02 23:49:50,7,0,0,0
2020-08-02 23:49:51,6,0,1,0
2020-08-02 23:49:52,8,0,0,0
2020-08-02 23:50:13,5,5,4,4
2020-08-02 23:50:14,4,4,3,4
2020-08-02 23:50:15,2,1,2,1
2020-08-02 23:50:16,6,5,3,3
2020-08-02 23:50:17,0,2,5,3
2020-08-02 23:50:18,4,2,2,0
2020-08-02 23:50:19,4,5,4,0
2020-08-02 23:50:20,3,2,4,0
2020-08-02 23:50:21,19,3,5,0
2020-08-02 23:50:22,8,1,1,0
2020-08-02 23:50:23,12,0,2,0
2020-08-02 23:50:24,13,0,0,0
2020-08-02 23:50:43,6,6,3,3
2020-08-02 23:50:44,1,1,4,4
2020-08-02 23:50:45,5,3,3,3
2020-08-02 23:50:46,3,3,1,2
2020-08-02 23:50:47,7,3,3,2
2020-08-02 23:50:48,8,3,4,4
2020-08-02 23:50:49,6,4,2,2
2020-08-02 23:50:50,12,1,0,0
2020-08-02 23:50:51,5,1,0,0
2020-08-02 23:50:52,23,0,0,0
2020-08-02 23:50:53,4,0,0,0
2020-08-02 23:51:13,4,1,0,0
2020-08-02 23:51:14,6,4,7,8
2020-08-02 23:51:15,4,0,4,3
2020-08-02 23:51:16,4,0,6,6
2020-08-02 23:51:17,2,0,2,3
2020-08-02 23:51:18,4,0,5,2
2020-08-02 23:51:19,10,0,7,3
2020-08-02 23:51:20,16,0,3,0
2020-08-02 23:51:21,18,0,1,0
2020-08-02 23:51:22,7,0,0,0
2020-08-02 23:51:43,7,7,5,5
2020-08-02 23:51:44,2,2,2,3
2020-08-02 23:51:45,4,2,3,3
2020-08-02 23:51:46,5,2,4,1
2020-08-02 23:51:47,10,1,2,1
2020-08-02 23:51:48,17,1,1,1
2020-08-02 23:51:49,6,0,1,1
2020-08-02 23:51:50,3,0,2,0
2020-08-02 23:51:51,1,0,0,0
2020-08-02 23:51:52,14,0,0,0
2020-08-02 23:51:53,2,0,0,0
2020-08-02 23:51:54,4,0,0,0
2020-08-02 23:52:13,5,0,0,4
2020-08-02 23:52:14,1,0,6,2
2020-08-02 23:52:15,5,0,2,4
2020-08-02 23:52:16,1,0,4,2
2020-08-02 23:52:17,3,0,0,1
2020-08-02 23:52:18,8,0,2,3
2020-08-02 23:52:19,16,0,0,1
2020-08-02 23:52:20,14,0,1,2
2020-08-02 23:52:21,5,0,0,1
2020-08-02 23:52:22,14,0,0,0
2020-08-02 23:52:23,2,0,0,0
2020-08-02 23:52:24,5,0,0,0
2020-08-02 23:52:25,1,0,0,0
2020-08-02 23:52:43,7,5,4,6
2020-08-02 23:52:44,3,0,1,2
2020-08-02 23:52:45,4,0,0,4
2020-08-02 23:52:46,11,0,0,2
2020-08-02 23:52:47,4,0,0,3
2020-08-02 23:52:48,8,0,0,3
2020-08-02 23:52:49,11,0,0,0
2020-08-02 23:52:50,15,0,0,0
2020-08-02 23:52:51,10,0,0,0
2020-08-02 23:52:52,7,0,0,0
2020-08-02 23:53:13,5,5,5,0
2020-08-02 23:53:14,4,3,3,0
2020-08-02 23:53:15,7,5,5,0
2020-08-02 23:53:16,2,5,5,0
2020-08-02 23:53:17,5,4,3,0
2020-08-02 23:53:18,3,4,4,0
2020-08-02 23:53:19,4,3,3,0
2020-08-02 23:53:20,5,2,6,0
2020-08-02 23:53:21,5,1,4,0
2020-08-02 23:53:22,6,2,5,0
2020-08-02 23:53:23,6,1,2,0
2020-08-02 23:53:24,15,0,2,0
2020-08-02 23:53:25,10,0,2,0
2020-08-02 23:53:26,6,0,1,0
2020-08-02 23:53:27,2,0,0,0
2020-08-02 23:53:28,10,0,0,0
2020-08-02 23:53:43,7,5,5,5
2020-08-02 23:53:44,4,5,2,3
2020-08-02 23:53:45,1,1,3,2
2020-08-02 23:53:46,1,2,2,2
2020-08-02 23:53:47,3,2,2,1
2020-08-02 23:53:48,4,5,3,3
2020-08-02 23:53:49,3,3,4,3
2020-08-02 23:53:50,7,3,3,1
2020-08-02 23:53:51,8,2,2,0
